place,info,문의 및 안내,주소,주차,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,접근로,출입통로,review,영업시간,휴일,대표메뉴,취급메뉴,홈페이지,이용시간,지정현황,입장료,체험가능 연령,화장실,체험 프로그램,이용 시기,주차 요금,이용요금,주요시설,장애인 주차 안내,지체장애 기타 상세,식음료장,부대시설,엘리베이터,객실,유아용보조의자,휠체어,수용인원,규모,수유실,판매 품목,시설이용료,체험프로그램,바비큐장여부,노래방 여부,세미나실 여부,유모차,점자 홍보물,"영유아가족
기타상세",이용가능시설,좌석수,주차요금,대중 교통,오디오 가이드,시각장애 기타상세
히로텔,"대구 굿스테이 히로텔은 대구 중심부에 위치해 있으며, 지하철 1호선 중앙로역과 동성로 쇼핑가에서 도보로 약 15분 거리에 있다. 현대적인 서양식 객실과 전통적인 한국식 객실 모두는 무료 Wi-Fi 인터넷을 갖추고 있다. 24시간 운영되는 프런트 데스크와 무료 주차장의 이용이 가능하며 서울행 KTX 열차에 탑승할 수 있는 동대구역에서 차로 10분 거리다. 대구 국제공항은 차로 16분 거리에 있으며 주변에는 다양한 현지 식당도 자리하고 있다. 주변 관광지로는 서문시장, 달성공원, 83타워 등이 있다.",,대구광역시 중구 국채보상로 657-12 (동인동2가),가능,15:00,12:00,불가능,26실,온돌 / 스탠다드 / 슈페리어 트윈,출입구까지 경사로가 설치되어 있음_무장애 편의시설,주출입구는 경사로가 있어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[백년가게]참깨국수,"참깨 국수는 대구 수성구에 위치한 국수 전문점이다. 1대 창업주 어머니 도영자의 대를 이어 2대 박해진 아들이 운영 중이다. 수육 등 대부분의 재료는 국산을 사용하고 있으며 김치는 하루 두세번씩 직접 담가 제공한다. 깨끗한 환경을 유지하기 위해 청결에 항상 힘쓴다. 참깨콩국수와 칼국수, 잔치국수 등 다양한 메뉴를 제공한다. 특히 콩국수는 콩 본연의 맛과 참깨가 어울려 고소하고 진한 풍미가 특징이다. 삼겹살 수육과 떡국도 인기 메뉴이다. 주차시설은 따로 구비되지 않았지만 골목 주변으로 가능하다.",,대구광역시 수성구 무학로31길 55,불가능,,,,,,,,,11:00~21:00,매주 월요일,참깨콩국수,잔치국수 / 칼국수 / 삼겹살 수육 / 파전 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화산산성,"화산산성은 해발 828m 화산 정상부에 외부로부터 침입을 막기 위해 조선 후기에 쌓았다. 둘레는 약 9,300보, 높이가 10척으로 기록되어 있다. 조선 숙종 35년(1709)에 병마절도사 윤숙이 군대를 주둔시키기 위해 동쪽과 서쪽, 남쪽과 북쪽 사방 문의 기초 공사를 시작하였다. 성벽을 쌓기 위해 돌로 된 재료를 모으고 수구문을 쌓던 중 흉년과 질병이 겹쳐 공사가 중지되었고, 그 후 계속 지금의 상태로 두었다고 한다. 조선 중기 이후 유행한 2층 수구의 형태, 조선 후기 성문과 성벽 등 성을 쌓던 기법과 공사의 순차를 연구하는 데 귀중한 자료이다.",,대구광역시 군위군 삼국유사면 화북리 산230,불가능,,,,,,,,마을의 조형물이 예쁘긴했고 올라가며 경치는 좋았지만 특별히 볼것도 없어 조금은 허무했어요 근처 캠핑장도 있고 대구 근교라 차박도 많은것 같습니다 밤하늘 별 보기도 좋고 조용한 시골 분위기도 너무 좋네요 힐링됩니다,,연중무휴,,,http://www.gunwi.go.kr/tour,상시 개방,대구광역시 기념물 화산산성 (1984.05.21. 지정),무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜원의 집,혜원의 집은 2018년 개봉해 150만 명의 관객을 모았던 영화 ‘리틀 포레스트’ 주인공 혜원(배우 김태리)의 집이다. 군위군의 대표적인 관광지 중 한 곳인 혜원의 집은 촬영당시 모습을 그대로 보존하여 영화에서 느꼈던 감동을 그대로 느낄 수 있다. 고즈넉한 집과 마을을 거닐다 보면 어느새 나도 모르게 마음의 위로를 받을 수 있다.,,대구광역시 군위군 우보면 미성5길 58-1,가능,,,,,,,,영화 리틀포레스트 촬영지를 지나는길에 우연히 발견하고 방문하게 되었습니다. 영화속에서 음식하던 김태리가 생각나게 하는 곳이었고 자전거도 탈수있게 준비되어 있습니다. 볼거리가 많지는 않지만 지나는 길에 잠시 들려보기 좋은곳입니다. 영화 촬영지였던 장소에 가서 영화에서 전하고자 했던 감정을 느켜보고 싶었어요 주변의 평화로움 추수가 킅난 논에서 평화가느껴지며 혜원이가 자전거 탄길에서 나도 자전거를 타보고 싶었어요 자전거가 불량상태라. 자전거 타기가 힘들엏지만 그곳에서 체험하고. 싶고 느키고 싶었던것. 충분히 느낀것같아서. 참좋았어요,,연중무휴,,,https://www.gunwi.go.kr/tour/main.do,09:00~18:00,,무료,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한천서원,"이 서원은 고려개국공신 태사 충렬공 전이갑과 충강공 전의갑 형제를 기리기 위해 세워진 곳이다. 팔공산 동수에서 견훤군과 맞서 싸우다 태조 왕건을 피신시키고, 장절공 신숭겸 장군등과 함께 장렬히 전사하여 그들의 영명을 후세에까지 남겼다. 뒷날 태조가 몹시 슬퍼하여 전이갑은 통합삼한개국공신 태사 충렬공으로 추증하고 전의갑은 시중개국공신 충강공으로 봉하였다. 공의 충절이 병조, 예조등 열성조 수교가 조선왕조에도 전교되어 서기 1864년(고종 8년)에 서원 철폐령으로 훼철된 후 설단하고 제각을 지어 공의 높은 충의를 기려오다가 서기 1989년 서원으로 복원되었다. 대지 800평 규모에 1곽 3동으로 되어 있으며 뜰에는 달성군 보호수 8-1호인 1000년 된 은행나무가 있다.

(출처 : 대구트립로드)",,대구광역시 달성군 가창면 가창동로 117,가능,,,,,,,,,,연중무휴,,,https://tour.daegu.go.kr/index.do,상시 개방,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달성 태고정,"달성태고정은 조선 성종 10년(1479) 박팽년의 손자인 박일산이 세운 별당건축이다. 지금 있는 건물은 선조 25년(1592) 임진왜란 때 불타서 일부만 남았던 것을 광해군 6년(1614)에 다시 지은 것이다. 항상 바르고 올곧게 살자는 뜻에서 일시루라고도 한다. 대청에는 윤두수의 한시를 새긴 현판과 정유재란 후 이곳에 온 명나라 선무관이 남긴 현판 등이 걸려 있다
네모난 모양의 단 위에 서 있으며 앞면 4칸 ·옆면 2칸 크기로, 동쪽 2칸은 대청마루이고, 서쪽 2칸은 방으로 꾸몄다. 대청 앞면은 개방되어 있는데 옆면과 뒷면에는 문을 달았을 것으로 추정한다. 대청 앞 기둥 사이에는 2층으로 된 난간을 설치하였다.
규모는 그리 크지 않은 건물이지만 가구나 세부 가공이 정교할 뿐만 아니라 초익공계의 정교한 가구 구성을 갖추었기에, 건축사적 가치를 지닌 건물로 평가되고 있다.
태고정 주변으로 도곡재와 육신사, 충효당이 있으며 사육신기념관을 방문하여 사육신과 박팽년에 대한 전시 및 영상 자료를 관람할 수 있다.",,대구광역시 달성군 하빈면 육신사길 64,가능,,,,,,,,,,,,,https://tour.daegu.go.kr,,대구 보물 달성 태고정 (1971.12.06. 지정),,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달성 하목정,"달성 하목정은 임진왜란 때 의병장이었던 낙포(洛浦) 이종문(李宗文)이 1604년(선조 37)에 세운 것이다. ‘하목정’이라는 정호(亭號)는 인조가 왕위에 오르기 전에 이곳에 머문 적이 있어 그 인연으로 이종문의 장남인 이지영에게 직접 써 준 것이다. 이곳은 조선 중기에 건립된 평면형태가 독특한 정자형 별당 건축으로 공간구성과 세부기법 및 의장 등에는 많은 특색이 나타나고 있어 역사적, 건축적, 학술적 가치가 뛰어난 곳이다. 정면 3칸, 측면 2칸의 대청과 정면 1칸, 측면 4칸의 방들이 서로 붙어서 전체적으로 독특한 평면으로 구성되어 있다.",,대구광역시 달성군 하빈면 하목정길 56-10,가능,,,,,,,,"고전과 현대가 어울리는 목가적인 풍경을 한컷으로 남길수 있는 여행지!!! 인생컷이 가능한 곳입니다 사진 진~~~짜 이쁘게 나와요 여행하기강추입니다~~^^ 목가적인 풍경들이 제대로 힐링을 선사하는 곳이네요. 아름다운 분위기를 느끼며 걷다가 액자 같은 배경에서 사진도 찰칵 찍을 수 있는 곳이예요^^ 문틀이 액차처럼 되어있꽃나무 배경으로 예쁜사진 찟을수있어서 좋았어요 한옥도 너무 예쁘고 주변에 사진찍을 곳도 많아서 좋았습니다 배롱나무도 처음 봤는데 너무 예쁘더라구요 여기 정말 이뻐요!! 사진 찍기도 너무 좋고, 고택이 너무 잘 관리 되어 있어서 좋아요! 배롱나무가 엄청 멋지게 피었답니다 ㅎ 추천해요",,연중무휴,,,https://www.dalseong.daegu.kr/culture/,상시 개방,보물 달성 하목정 (2019.12.30. 지정),무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엄마아빠어렸을적에,"‘엄마 아빠 어렸을 적에’는 화본역 인근에 있는 옛 산성중학교를 리모델링하여 1960, 70년대의 생활상 등을 체험할 수 있도록 한 추억의 테마 박물관이다. 추억의 학교에는 40~50여 년 전의 시골학교 교실을 비롯하여 이발소, 사진관, 소리사, 만화방, 문방구, 구멍가게, 연탄가게 등이 그대로 재현되어 있다. 옛날 교복과 옛날 오락, 승마 등 여러 체험 요소가 많아 추억여행이나 촬영지 등으로 관광객들이 많이 찾는 군위의 관광지이다.",,대구광역시 군위군 산성면 산성가음로 722,가능,,,,,,,,"여긴 아이와 몇번이나 간곳 입니다 부모님은 추억이 새록새록 아이들은 새로운 경험으로 즐거운 시간 보낼수 있는곳 인것 같아 추천합니다 추억 있는 옛 물건들이 전시되어 있는 곳입니다. 입장료 대비 전시품이 많지는 않은것 같습니다. 주차장은 길 건너편 역쪽에 주차 후 이용해야 합니다. 기념품으로 차량용 방향제 구매 했는데 매우 만족스럽습니다. 온가족이 군위에 있는 엄마 아빠 어렸을 적에 다녀 왔어요 요즘 애들이 보기에는 신기한 것도 많이 있어요 어른들에게는 추억이 새록새록 생각나기도 하구요 예전 교복을 입을수도 있게 되어 있는데 저도 생소한 교련복 이더라구요 ㅎ 애들 사이즈에 맞게 접어서 입히고 사진 찍으니 정말 귀엽게 잘나왔어요 즐거운 과거로릐 여행 잘다녀 왔습니다 운동장에 소소하게 아이들 놀거리가 있어서, 생각보다 오래 머물렀어요. 옛날과자. 음료등이 가격이 싸고, 달고나는 정말 작품을 만들어주시는 달인이 계셔서 강추합니다. 몇해전 찾았을탠 좋았어요 그 추억으로 다시금찾았는데 그동안 변한부분도 많더군요주말이 아니어서 체험이. 이루어지지 안쓴다는것은 이해되었으나 모든가게도 문이 다혀있더군요 주말입장료와 같은 입장료를 받는다는것 이 도무지 이해가 되지 않았어요 말 그대로 저 어릴 적이라고 하기엔 세대가 더 윗 세대이지만 충분히 공감이 가는 곳 입니다. 졸업한 중학교가 이렇게 변해서 군위의 명소가 되었다니 자랑스럽네요",,연중무휴,,,"대구 문화관광 https://tour.daegu.go.kr
화본마을 http://화본마을.com","- 3월~10월 09:00~18:00
- 11월~2월 09:00~17:00
※ 관람종료 30분 전까지만 입장가능",,"- 중학생~성인 3,000원
- 어린이(만 3세)~초등학생 2,500원
- 단체(25명 이상) 1,500원
※ 평일에는 일부 유료 체험은 불가능
※ 유료체험요금은 별도 부과",전연령,,"유료체험, 무료체험, 꽃마을 체험장",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광덕사(대구),"대구 달성군에 위치한 광덕사는 대한불교조계종 제9교구 본사 동화사 소속 사찰이다. 이 사찰은 1967년 정운성에 의해 창립되었다. 광덕사는 납골당도 함께 운영하고 있다. 부처님 오신 날과 같은 특별한 날에는 많은 사람들이 이곳을 방문한다. 사찰 건물로는 대웅보전, 산신각, 독성각, 요사채가 있으며, 사찰 입구에는 범종각과 포대 화상이 자리하고 있다. 이 사찰은 고즈넉한 자연 속에 자리 잡고 있으며, 방문객들에게 평화롭고 조용한 분위기를 제공한다.",,대구광역시 달성군 가창면 헐티로 1190,가능,,,,,,,,,,연중무휴,,,,상시 개방,,무료,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원호루,"원호루는 1897년(고종 34) 현풍 현령홍필주가 관직에 있을 때 인근 현령과 지방유생들이 정사를 논의하고 풍류와 여흥을 즐기기 위하여 지은 것이라 전해진다. 원래는 현재의 현풍읍사무소 후원 동산에 있었으나 1989년 면사무소를 증축하며 해체되었다가, 초대 민선 달성 군수 양시영에 의해 1996∼1998년 현 위치로 옮겨와 복원되었다. 처음에는 2층의 아담한 누각이었으나, 1957년 중건하면서 높은 댓돌 위에 단층으로 바뀌었다. 복원된 현 누각은 자연산 주초석을 자재로 하여 기둥 위에 정면 3칸, 측면 2칸의 이익공 양식의 겹처마 팔작 기와지붕이다. 작은 산의 정상 부근에 위치하여 원호루 누각에 오르면 파노라마처럼 펼쳐지는 주변 숲의 초록으로 가득한 풍경을 볼 수 있다. 원호루 인근으로 석빙고와 상리체육공원, 사직단 등을 연결하는 산책로를 이용하여 반나절의 짧은 시간 안에 연계해서 둘러볼 수 있다.",,대구광역시 달성군 현풍면 현풍동로 92,가능,,,,,,,,,,연중무휴,,,,,,,,,,상시 개방,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
