,place,info,문의 및 안내,홈페이지,주소,이용시간,이용요금,체험프로그램,review,휴일,주차,입장료,화장실,이용가능시설,주차요금,접근로,출입통로,보조견 동반,체험 프로그램,체험가능 연령,주차 요금,수용인원,할인 정보,시설이용료,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,부대시설,사우나실 여부,규모,캠프파이어 여부,바비큐장여부,장애인 주차 안내,엘리베이터,점자 블록,수유실,"영유아가족
기타상세",휠체어,매표소,영업시간,대표메뉴,취급메뉴,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,객실,공용 PC실 여부,지체장애 기타 상세,청각 장애 기타상세,시각장애 기타상세,안내 요원,주요시설,보유장비,대중 교통,지정현황,이용 시기,코스안내,점자 홍보물,유아용보조의자,판매 품목,좌석수,입점브랜드,휘트니스 센터 여부,노래방 여부,유모차,청각장애용 객실,관람석,대여안내,뷰티시설여부,유도안내 설비
0,섬진강기차마을생태학습관,"섬진강 기차마을 내에 있는 섬진강기차마을생태학습관은 681㎡의 공간에 5종의 육상 곤충, 3종의 수상 곤충, 해충(害蟲) 및 익충(益蟲)의 먹이사슬을 통한 농작물과 곤충, 친환경 농업과 자연 생태계의 상호 관계를 잘 보여주는 천적 곤충실, 무당벌레 모형 등이 있는 체험실 등을 갖추고 있다. 이곳은 특히 천적 관계인 곤충을 소개하는 것에 집중하고 있는데 천적 곤충실에는 무당벌레-진딧물, 칠레이리응애-응애, 잎굴파리-잎굴파리고치벌 등 8종의 곤충들이 천적 관계로 각각 짝지어져 전시되어 있다.",,곡성문화관광 https://www.gokseong.go.kr/tour,전라남도 곡성군 오곡면 기차마을로 232,10:00~18:00,"[섬진강 기차마을 입장료]
- 대인 5,000원
- 소인 4,500원
※기차마을 입장료에 포함
※이용요금은 변동될 수 있으므로 전화 문의",곤충놀이터 / 샌드크래프트 / 곤충페스티벌 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,평도마을,"피아골 계곡이 연곡사를 거쳐 내려오다 넓게 들을 만든다고 해서 평도라고 일컫는다. 민박집이 많고, 옛적에는 목아재를 넘어 당재로 향하는 통상의 숙박 터이기도 하였다. 마을 위쪽 도로를 따라 올라가면 국립공원으로 들어가는 갈림길이 나온다. 그 위쪽 피아골로 30분쯤 걸으면 연곡사가 나온다. 연곡사는 신라 말, 고려 초기에 만들어진 것으로 보이는 동부도, 북부도 등의 국보와 수많은 보물을 볼 수 있으며 특히 동부도는 국내에서 가장 오래된 것으로 그 조각 솜씨가 세계적인 아름다움을 자랑한다. 마을 아래쪽에는 토지 초등학교 연곡분교가 자리하고 있다. 원래는 토지동 초등학교였으나 1997년 토지 초등학교 연곡분교로 격하되었지만, 최근 환경 좋은 산촌학교로 이름이 많이 알려졌다. 인근에 피아골 단풍공원 야영장과 피아골 솔밭 야영장이 있다.",,구례문화관광 https://www.gurye.go.kr/tour,전라남도 구례군 토지면 피아골로 660,상시 개방,,,,연중무휴,"가능
요금 (무료)",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,미평 봉화산 산림욕장,"미평 봉화산 산림욕장은 노약자, 장애인, 임산부, 어린이 등 모든 시민이 편안하고 안전하게 산책을 즐길 수 있는 무장애 산책로와 맨발길, 유아숲 등이 조성되어 있다. 이용하는 시민들이 서로가 배려하는 마음으로 산책하고 휴식하면서 산림욕을 마음껏 즐길 수 있다. 산림욕장 내에는 맨발 걷기를 위한 세족장도 설치되어 있으며, 쉼터와 화장실, 주차장 등의 편의시설은 물론, 목교와 사방댐도 있다.",,https://www.yeosu.go.kr/tour/travel,전라남도 여수시 미평동 21-1,상시 개방,,,,연중무휴,가능,무료,있음,유아숲체험원 / 맨발길 / 세족장 / 쉼터 등,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,순천 문화의거리,"순천 문화의 거리는 순천 지역의 문화 예술인들이 모여들어 만들어진 거리이다. 이색적인 문화의 공간으로 거듭난 문화의 거리는 쉬엄쉬엄 아름다운 풍경을 구경하며 걷기 좋은 길로도 유명하다. 도심의 심장부에 자리 잡고 있고 골목을 따라 갤러리와 공방들이 즐비해 순천의 인사동으로 통한다. 다양한 공방이 자리하고 있어, 각종 생활용품과 예술품을 제작 판매한다. 문화의 거리에서 매년 문화유산야행, 팔마문화제 등 축제가 열려 체험, 전시, 공연 등 다양한 볼거리와 남녀노소 누구나 즐길 수 있는 문화향유의 기회를 제공한다.",,https://www.suncheon.go.kr/tour/,전라남도 순천시 영동길 18 (행동),상시 개방,,,,연중무휴,가능,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,꽃게랑 낙지랑,"남도 음식의 명가 꽃게랑 낙지랑. 현지인들이 추천하는 맛집이다.
꽃게무침, 꽃게살무침, 꽃게간장게장, 낙지연포탕, 낙지소고기탕탕이 등 메뉴가 다양하며 국내산 재료만을 이용하여 요리한다. 메뉴를 시키면 다양한 밑반찬이 나오는데 그중 순두부찌개는 메인 메뉴만큼 인기가 좋다. 실내도 넓고 주차장도 넓어 이용하기 편리하다.",,,전라남도 무안군 삼향읍 남악리 2421-1,11:00~20:30,,,,"매달 1,3번째 일요일",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,봉황산자연휴양림(여수봉황산자연휴양림),"여수 돌산읍에 있는 봉황산자연휴양림은 남해바다의 아름다운 자연 풍광을 한눈에 볼 수 있는 전망 좋은 곳에 있으며, 주변에 일출의 명소로 널리 알려진 향일암과 다도해해상 국립공원인 금오도 비렁길이 근거리에 위치하여, 남해안 농어촌에서 고품격 바다여행의 낭만도 함께 누릴 수 있는 곳이다. 휴양림 내 편백 숲 체험은 숲에 있는 다양한 환경요소를 활용하여 바쁜 삶에 지친 신체의 면역력을 높이고 신체적, 정신적 건강을 회복시키는 활동이다. 편백 향을 맡으며 산림욕도 즐기고, 숲길 맨발 산책 등 다양한 체험활동도 하면서, 자연과 친해지는 시간도 가져 볼 수 있다. 봉황산자연휴양림은 산책과 더불어 남해안의 아름다운 자연 풍광을 벗 삼아 심신의 휴식과 치유를 위한 건강증진의 장소로 으뜸이다.",,https://www.foresttrip.go.kr,전라남도 여수시 돌산읍 대복길 160,09:00~18:00,,,여수시를 여행하며 방문한 봉황산자연휴양림은 아름다운 곳이였다. 편백나무가 많았으며 봉황산으로 임도를 따라 산책하니 섬들이 내려다 보이는 아름다운 곳으로 산책하기도 좋았습니다. 일출후 조식을 마치고 맨발걷기 했는데 기분이 상쾌하고 오래도록 머물고 싶은 생각이 많이 들었어요 . 또다시 기회가 되면 가고싶은 곳 봉황상 자연 휴양림 이랍니다 향일암 근처라 일출 보러 갈때 들리기 좋았어요 조용하고 뷰 좋은 자연휴양림입니다 가족이랑 같이간 봉황산자연휴양림 정말 좋았어요~~ 자연을 그대로 느낄수있는 여행이었습니다. 가족들과 산책하며 힐링하고 사진도 많이 찍고 즐길거리많은 곳이었습니다~~ 여수 봉황산자연휴양림이 좋다고 추천을 많이 받아 부모님 모시고 다녀왔어요. 숲속 산책로를 같이 걷는데 편백향이 진짜 너무 좋더라구요. 깨끗한 공기를 맘껏 마시며 맨발걷기도 했답니다. 몸과 마음의 힐링 제대로 했습니다. 부모님이 만족하시며 기뻐하시는 모습 보면서 오길 잘했다는 생각이 들었어요. 담번 여행도 저희가족은 여수 봉황산자연휴양림으로 또 가려구요.,매주 화요일 / 설·추석 당일,"가능 (50대)
요금 (숙박객 무료)","[개인]
- 일반 1,000원
- 청소년 800원
- 어린이 500원
[단체(20명 이상)]
- 일반 800원
- 청소년 500원
- 어린이 300원",있음(남/녀 구분),"유료 숙박시설(2인실 3동, 4인실 5동, 6인실 2동, 8인실 2동), 휴양관( 10인실 1호, 4인실 9호), 야영장, 카라반, 야영데크, 세미나실","소형 3,000원 / 대형 5,000원",,,,산림 치유 프로그램,전 연령 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,온동마을,"온동마을은 옛날에 온수가 난다고 해서 ‘온수골’이라고 부르면서 붙여진 이름이다. 지리 산맥의 대간인 차일봉 종석대가 우측으로 뻗어와 갈미봉(간미봉)으로 이어지고, 그 갈미봉이 다시 구례재로 이어지면서 당동 마을과 난동 마을 들을 형성하였는데 그 지리산맥이 입수되어 이룬 터에 자리 잡고 있는 마을이다. 조선 말기에 전주 이씨가 이주하여 마을을 형성한 뒤 많은 주민들이 모여들어 큰 마을이 형성되었다. 마을 사람들은 단감과 고추 재배를 통해 농가 수익을 올리고 있다. 이 마을은 주변이 산으로 둘러져 있는 분지 형태로 골짜기마다 농경지가 형성되어 있다.",,,전라남도 구례군 광의면 온동1길 17,상시 개방,,,,,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,전라남도완도자연휴양림,"전라남도에서 운영하는 난대림 속 산림휴양공간으로 휴식과 치유를 위해 이곳을 찾는 사람들이 많다. 섬, 바다, 난대숲이 어우러지는 천혜의 자연조건을 갖추고 있어 휴양하기에 적합하다. 숙소로 이용하는 숲 속의 집은 10동이 마련되어 있다. 아침에는 새소리가 가장 먼저 반기며 테라스에서는 다도해를 바라보는 뷰가 일품으로 일출을 감상하기 좋다. 다른 휴양림에 비해 객실 수가 적어서 조용하고 한적하다. 숲 속의 집 뒤로는 숲 속 산책로가 조성되어 있어 휴양림 주변만을 가볍게 걷기 좋고, 상왕산까지 이어진 등산로를 따라 정상까지 다녀올 수도 있다. 정상까지 왕복 1시간 정도 소요된다.",,https://www.foresttrip.go.kr/,전라남도 완도군 완도읍 대야일구1길 115,"- 휴양림 09:00~18:00
- 숲속의집 14:00~익일11:00",,,,,가능,"[입장료]
- 어른 2,000원
- 청소년 1,500원
- 어린이 1,000원
[숲속의 집]
- 80,000원~180,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",가능 (남녀 구분),숲속의 집 10개소,"[성수기 및 주말]
- 경차 1,500원
- 소형,중형 3,000원
- 대형 5,000원
[비수기 주중]
- 경차 1,000원
- 소형,중형 2,000원
- 대형 3,500원
※ 숲속의집, 회의실 사용자는 무료",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,삼학도공원,"1968년부터 5년에 걸친 간척공사로 육지가 된 목포 삼학도공원은 봄의 튤립, 여름의 해바라기, 가을의 코스모스, 겨울의 동백까지 계절마다 아름다운 꽃들이 맞아 준다. 꽃밭을 지나 산책로로 이동하여 기다란 수로 주변에 뻗어있는 한적한 길을 걷다 보면 일상의 시름이 덜어지고, 수로를 따라 내려가다 보이는 멋스러운 작은 다리가 운치 있게 느껴진다. 산책길이 여러 곳으로 막힘없이 나 있어 반려견들과 산책하기도 좋고, 자연을 바라보며 힐링하기도 좋다. 공원 내에 김대중노벨평화상기념관과 목포어린이바다과학관, 카누체험캠프도 있어서 온 가족이 다 같이 오기 좋은 곳이다.",,https://www.mokpo.go.kr/tour,전라남도 목포시 산정동 1455,상시 개방,,,,연중무휴,가능,무료,있음 (남녀 구분),김대중노벨평화상기념관 / 목포어린이바다과학관 / 카누체험캠프 / 튤립공 등,무료,,,,카누체험캠프,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,전남도립미술관,"2021년 3월 개관한 전남도립미술관은 옛 광양 역사 부지에 지상 3층, 지하 1층 규모로 건립된 현대미술 공간이다. 한국 미술사를 대표하는 작가를 다수 배출한 ‘예향’ 아카이브 사업을 통해 지역 작가 수집, 발굴에 앞장서고 있다. 우수한 전통을 토대로 새로운 현대미술의 미래를 밝히고, 남도 미술의 국제적 위상을 높이기 위해 노력하고 있다. 전체가 6m 전시장으로 구성돼 다양한 전시를 할 수 있으며, 조명도 자연광과 가장 가까운 빛의 조명을 활용하여, 관람객이 머무르다 갈 수 있는 미술관이 되고 있다. 세계 현대미술과의 개방적이고 다양한 교류를 통해 문화예술 기관으로서의 공공성 확립에 앞장서고 있다.",,"홈페이지 https://artmuseum.jeonnam.go.kr
인스타그램 https://www.instagram.com/jeonnammuseumofart",전라남도 광양시 광양읍 순광로 660,"- 10:00~18:00 (입장마감 17:30)
- 문화가 있는 날(매달 마지막 주 수요일) 10:00~21:00 (입장 마감 20:30)","[개인]
- 성인 1,000원
- 어린이, 청소년, 대학생, 군인, 예술인 700원

[단체(20명 이상)]
- 성인 700원
- 어린이, 청소년, 대학생, 군인, 예술인 500원
※ 성인 : 25세 이상 64세 이하
※ 어린이 : 7세 이상 24세 이하
※ 대학생 : 학생증 소지
※ 군인 : 하사 이하의 군인
※ 예술인 : 예술인 패스카드 소지자","일정별로 상이
※ 홈페이지 참조","터미널과 지리적으로 가까워 타지역에서 방문하는데 불편함이 없고 다양한 전시 작품들을 볼 수있어 좋은 것 같습니다. 홈페이지에서 미리 어떤 전시를 하고있는지 보고싶은 전시의 기간도 확인하고 가시면 더 좋구요~ 아이들과 간다면 어린이 아뜰리에에서 색칠도 하면서 아이들과 작품을 만들수 있어 좋았습니다. 자주 전시회 보러 다니는 미술관.허영만 작품전시회 보러 가야 하는데 시간이 없어 😢 슬퍼요.이번주에 꼭 방문 해 봐야겠어요 주차도 편리하고 광양5일장과 가까워서 1,6일에 시장과 함께 코스로 오기 좋아요. 미술관 전시 프로그램도 좋고 가끔 강연도 해서 자주 가고 있습니다. 전남 도립미술관 집에서 가까워서 전시회마다 가는데 문화 혜택을 볼 수 있고 쉽게 접하지 못하는 작품 전시회가 많아 방문 추천 합니다.교통도 편하고주차장도 넓어 주차하기 편해요 가보고싶었던 미술관 드디어 다녀왔어요 적당히 한적하고 전시도 정말 좋았습니다 :)",매주 월요일 / 1월 1일 / 설·추석 당일,가능,,,,,,,,,,무료,전시별 상이,"- 전남도민, 전남사랑도민증 소지자 : 관람료 50% 할인
※ 단, 관련 신분증 및 증명서 확인이 가능한 자",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
