,place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,입장료,접근로,review,주차 요금,이용요금,체험,출입통로,장애인 주차 안내,엘리베이터,수유실,판매 품목,이용가능시설,주차요금,지정현황,체험가능 연령,유모차,휠체어,지체장애 기타 상세,입점브랜드,규모,대중 교통,주요시설,할인 정보,수용인원,오디오 가이드,시각장애 기타상세,관람석,점자 홍보물,보조견 동반,보유장비,안내 요원,시설이용료,부대시설,점자 블록,이용 시기,강습안내,청각 장애 기타상세,코스안내,영유아가족 기타상세,유아용보조의자,개장기간,대여안내,유도안내 설비,예약안내 홈페이지,객실,자막 비디오 가이드,수화 안내,매표소,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,홍보물,예약안내,객실유형,바비큐장여부,세미나실 여부,좌석수,사우나실 여부,캠프파이어 여부,스포츠 시설 여부,자전거 대여 여부,공용 PC실 여부,휘트니스 센터 여부,노래방 여부,청각장애용 객실,뷰티시설여부,공용 샤워실 여부,청각장애 기타상세,보조견동반
2035,뮤직컴플렉스 서울,"인사동에 뜬 붉은 노을과 뮤직 콤플렉스 서울, 아날로그 감성과 힙한 감성이 공존하는 곳이다. 뮤직 콤플렉스 서울은 국내 최대 규모의 LP 카페로 각 자리마다 개별 턴테이블과 헤드셋이 구비되어 있으며 2만여 장의 LP 속에서 좋아하는 음악을 직접 디깅 하여 자유롭게 청음 할 수 있는 공간이다.",,https://www.instagram.com/music.complex.seoul,서울특별시 종로구 인사동길 49,,연중무휴,가능,,,,뮤직컴플렉스에 가서 턴테이블을 처음 만져보네요. 아날로그적 감성이 있습니다. 음악과 함께 들리는 치직거리는 소리마저 정감 있었어요. 정면에는 거대한 모닥불 타는 영상이 재생되어 불멍하는 느낌을 줍니다. LP 감상 할 수 있는 몇 안 되는 곳입니다. 공간이 넓어 답답하지 않습니다. 와 정말 이색적이네요! 쉬는날 한번씩 가기 좋은 곳이에요. 멋진 분위기와 음악아 함께하는 곳 가봐야겠어요 시간날때 마다 한번씩 방문하는곳이에요. 음악 감상하기 좋아요. 음악을 들으며 충전하고플때 가보고 싶네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00~23:50,뮤직컴플렉스 레드티,아메리카노 / 스페셜티 / 콤비네이션 피자 등,,,,,,,,,,,,,,,,,,,
2351,봄솔레씨네,봄솔레씨네는 자연을 담은 신선한 저칼로리의 건강한 메뉴로 모든 음식을 주문과 동시에 조리한 브런치와 파스타를 즐길 수 있다.,,,서울특별시 동대문구 서울시립대로29길 3,,"매주 일요일
※ 토요일은 방학기간 중 휴무",없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11:00~20:30
브레이크 타임 15:00~17:00
라스트오더 14:15(점심) / 19:40(저녁)",쉬림프 로제 파스타,쉬림프 로제 파스타 / 마르게리따 / 브런치 외,,,,,,,,,,,,,,,,,,,
2803,10꼬르소꼬모 청담점,"서울 강남구 압구정에 위치한 10꼬르소꼬모 청담점은 카페와 의류 및 생필품을 판매하는 편집숍을 겸하고 있는 곳이다. 건물 지하 1층에 있는 카페는 브런치 및 디저트 메뉴도 인기 있지만 멋진 인테리어로도 유명하다.
1층은 잡지, 캔들, 디퓨저, 주방용품 등 인테리어 소품을 판매하고 있으며, 2층은 의류, 3층은 잡화를 판매하고 있어 분위기 좋은 곳에서 식사와 더불어 쇼핑도 할 수 있는 공간으로 인기 있다.",,https://www.instagram.com/10corsocomoseoul/,서울특별시 강남구 압구정로 416 (청담동),,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~20:00,시그니처 크리미 티라미수,요거트 젤라또 / 카라멜 젤라또 / 블루베리 밀푀유 등,,,,,,,,,,,,,,,,,,,
3969,스페인마을,"스페인 마을은 레스토랑과 베이커리 카페, 공방, 펜션, 카라반 등 이용가능한 곳이다. 스페인 마을 풍차 건물 1층 브런치 카페에는 샐러드와 피자, 간단한 샌드위치 등을 판매하고 있고 지하 1층 레스토랑에는 샐러드, 피자, 파스타와 스페인의 대표 음식인 파에야를 주메뉴로 각종 음료와 와인, 수제 맥주도 함께 주문할 수 있다. 아름다운 바다를 바로 내려다볼 수 있는 1층 카페 넓은 창가 좌석은 늘 사람들로 가득하다. 바다 조망과 함께 풍차가 있는 카페를 둘러싼 정원의 꽃들이 이국적인 정취를 자아낸다.",,http://스페인마을.com/,인천광역시 강화군 화도면 내리 2181-14,,연중무휴,가능,,,,아무도 없는 화요일에 한적하게 방문한 스페인 마을 카페~창가 너머 안개낀 갯벌 갬성^^ 서울과 가까워서 자주 찾게되는 강화에 드라이브삼아 가는 스페인 마을은 이색적인 분위기가 사진도 많이 찍게되고 해외를 간것같은 기분이 들게하는 곳입니다. 이색적인 건물과 곳곳에 운치있게 놓여진 벤치에 앉아서 마시는 커피 한잔은 정말 여유로움을 선사해줍니다. 가까운곳에 힐링할수 있는곳이 있다는것은 정말 기분좋은 일입니다. 한번 방문해보세요 김포와 가까워 시부모님과 같이 가끔 방문합니다:) 30대인 제 눈에는 그냥그런데;; 왜인지 어른들은 좋아하셔요~ 또 가자 하시더라구요~ 아마 예쁜 바다를 보면서 물멍하는게 좋으신가 해요~ 식사/커피는 가격대비 매우 별로라고 생각합니다~ 이것저것 생각해도 비싸요! 맛도...ㅠ(개선했으면..) 그럼에도 불구 부모님이 또 가자시면 갑니닷:)!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- 마르베야카페 10:00~20:00 (마지막 주문 19:30)
- 바다전망카페 10:00~20:00",바베큐폭립,백향과차 아이스 / 블루베리차 아이스 / 레몬차 등,,,,,,,,,,,,,,,,,,,
5048,담양LP음악충전소,담양LP음악충전소는 담양군과 광주 MBC의 협업으로 만들어진 미디어 복합문화공간이다. 이 공간은 담양군의 도시재생 뉴딜사업의 성공적인 추진과 원도심 활성화를 위해 광주 MBC가 소장하던 3만여 장의 LP와 5천여 장의 CD를 이곳으로 옮겨와 시민들이 직접 청음하고 체험할 수 있는 공간으로 재탄생하였다. 매장 1층에서 음료 주문 후 2층에서 LP를 직접 골라 청음 할 수 있고 주말에는 3층에서 디제이와 함께 실시간 신청곡 이벤트를 즐길 수 있다. 다양한 음악과 함께 과거의 감성을 느낄 수 있는 곳이다.,,https://www.instagram.com/lpmusic.damyang/,전라남도 담양군 담양읍 중앙로 83,,매주 화요일,"가능 (담양읍사무소)
요금 (무료)",,,휠체어가 올라갈 수 있는 경사로가 설치되어 있음,,,,,주출입구에 휠체어가 통과 가능함(자동문),,"엘리베이터 있음 (장애인용,휠체어 2대크기)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 ~ 21:00,아메리카노,헤이즐넛 아메리카노 / 카푸치노 / 담양 딸기 라떼 / 바닐라 아이스크림 크로플 / 트리플베리 크로플 등,,,,,,,80.0,,,,,,,,,,,,
5228,사운즈옥천,"순천 옥리단길에 위치한 사운즈옥천. 지금의 건물은 조선 시대에 정승이 살았던 곳으로 순천의 오랜 역사와 문화가 깃들어 있는 곳이다. 2월에 방문하면 곱게 핀 붉은색 설중매가 아름답다. 겨울이 아닌 계절에도 산다화, 금목서 등 계절에 만개하는 꽃들을 만나볼 수 있다.",,,전라남도 순천시 옥천길 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~18:00,에스프레소,에스프레소 / 아메리카노 / 바닐라라떼 / 허브티 / 자몽차 등,,,,,,,,,,,,,,,,,,,
5319,올라알파카카페,"알파카는 낙타과로 남아메리카의 칠레, 페루와 볼리비아의 안데스산맥에 분포해 있다. 올라알파카카페는 알파카를 가까이에서 보면서 먹이주기와 함께 거위 먹이주기 체험이 가능한 광주근교의 카페로 음료와 베이커리를 동시에 즐길 수 있는 카페이다. 거위먹이는 카페에서 구입 가능하며 거위먹이 주기, 라마 먹이주기 체험은 아이들이 즐거워하는 체험이다. 또한, 야외에 유아들이 즐길 수 있는 미끄럼틀과 푸쉬카 등 놀이 시설들을 이용할 수 있다. 아이들이 야외체험을 하는 동안 보호자들이 지켜볼 수 있도록 야외에 좌석이 준비되어 있어 주문한 음료와 베이커리를 편하게 즐길 수 있다.
2층 카페의 넓은 창밖으로 만연산의 경치가 한눈에 보이고 알파카 모양의 쿠키등을 직접 베이킹해서 제공하고 있다.
동물이 있는 곳이지만 주변 환경이나 알파카 관리가 깨끗하게 잘 되어 있어 냄새가 나지 않아 카페를 방문하는 사람들이 편안한 마음으로 즐길 수 있다.",,https://www.instagram.com/holaalpaca_cafe/,전라남도 화순군 안양산로 477-1,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~19:00,아메리카노,카페라떼 / 바닐라라떼 / 아인슈페너 / 자몽에이드 / 생딸기라떼 등,,,,,,,,,,,,,,,,,,,
5325,카페 림,"위치는 담양이지만 광주와 가까워서 광주 인근 드라이브 코스로 알려져 있다. 푸른 대나무 숲 속 풍경을 배경으로 군더더기 없이 심플한 2층의 건물 외관이 조화롭다. 1층, 2층 전면 통창과 사방의 커다란 통창을 내어 개방감을 주었고, 대나무숲이 보이는 깨끗한 통창을 통해 보이는 창밖의 풍경은 한 폭의 동양화를 보는 듯 청량감을 준다.
테이블과 좌석의 배치는 조밀하지 않게 공간의 여유를 두어 편안함을 느끼며 휴식을 즐길 수 있다. 아기의자도 준비되어 있어 어린아이가 있는 가족단위 방문객도 불편하지 않고 단체석이 많아 친구들과 가족모임을 갖기 좋다.
카페 주변에 조성되어 있는 대나무숲을 배경으로 테이블을 놓아 야외에서도 대나무숲에서 불어오는 바람 소리를 들으며 음료와 디저트를 즐길 수 있다. 디저트류는 베이글, 바스크 치즈케이크, 스콘, 휘낭시에가 있다.",,,전라남도 담양군 송강정로 192,,매주 일요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[평일]
- 11:30~19:00
- 마지막 주문 18:10
[주말]
- 11:30~20:00
- 마지막 주문 19:10",샤케코코,아메리카노 / 카페라떼 / 바닐라라떼 / 생강차 / 수박주스 등,,,,,,,,,,,,,,,,,,,
5425,지리산가는길,"지리산 가는 길은 전남 곡성군 죽곡면 압록강 유원지 근처에 있다. 지리산 가는 길의 대표 메뉴는 통 모짜렐라와 지리산 흑돼지로 감싼 수제 치즈돈가스와 손수 작업하는 수제 등심 돈가스다. 섬진강 뷰를 바라보면서 자연과 함께 음식을 즐길 수 있어, 연령대 상관없이 인기가 있다. 국물, 피클, 깍두기도 매장에서 직접 만들기 때문에 기본이 충실하다. 가게 내부는 전체적으로 목재를 사용한 인테리어로 산길에 들어선 듯 한 감성을 느낄 수 있다. 특히, 테라스 자리는 섬진강 뷰를 보면서 식사를 할 수 있어 인기다. 그밖에 카페라떼, 바닐라라떼 등의 커피 메뉴, 수제 건강차, 생과일주스 등 다양한 디저트 메뉴들이 있다.",,,전라남도 곡성군 죽곡면 대황강로 1334,,매주 월요일,"가능 (무료, 전용주차장)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30 ~ 20:00 (라스트오더 19:00),치즈돈까스,등심돈까스 / 아메리카노 / 카페라떼 / 바닐라라떼 등,,,,,,,,,,,,,,,,,,,
5512,황소식당,"여수 봉산게장거리에 있는 원조 황소식당은 여수의 명물 돌게로 만든 게장백반 정식과 갈치조림이 맛있기로 이름난 식당이다. 깔끔하게 지어진 건물 지하에 주차장이 있고, 1층과 2층 식당은 넓고 깨끗하다. 게장백반 정식도 맛있고, 갈치조림과 게장 정식을 함께 주문해도 되는데, 갈치조림은 간장게장과 양념게장이 같이 나온다. 전라도 식당답게 하나하나 맛있는 밑반찬이 푸짐하게 차려지고, 갈치조림과 게장까지 올라오면 보기만 해도 먹음직스러운 한 상이 차려진다. 손님이 많은 맛집이라 기다릴 수도 있지만, 음식을 맛보는 순간 기다림의 시간이 아깝지 않을 정도이다. 간장게장과 양념게장은 1회 리필이 가능하다.",,,전라남도 여수시 봉산남3길 2 (봉산동),,연중무휴,가능,,,,영업시간은 아침 9시부터 밤 8시까지고 저희는 여수게장이 같이 나오는 갈치조림 시켰어요 반찬으로 고사리볶음 갓김치 꼬막 무침 나오고 된장국 새우장도 맛있어요 돌게로 만든 간장게장인데 감칠맛도 있고 고소하고 맛있어요 갈치조림도 맛있어요 추천!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00~21:00(라스트오더 20:10),모둠꽃게장정식+돌게장정식,게장백반정식 / 갈치조림 / 갈치젓갈 등,,,,,,,,,,,,,,,,,,,
