,place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,입장료,접근로,review,주차 요금,이용요금,체험,출입통로,장애인 주차 안내,엘리베이터,수유실,판매 품목,이용가능시설,주차요금,지정현황,체험가능 연령,유모차,휠체어,지체장애 기타 상세,입점브랜드,규모,대중 교통,주요시설,할인 정보,수용인원,오디오 가이드,시각장애 기타상세,관람석,점자 홍보물,보조견 동반,보유장비,안내 요원,시설이용료,부대시설,점자 블록,이용 시기,강습안내,청각 장애 기타상세,코스안내,영유아가족 기타상세,유아용보조의자,개장기간,대여안내,유도안내 설비,예약안내 홈페이지,객실,자막 비디오 가이드,수화 안내,매표소,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,홍보물,예약안내,객실유형,바비큐장여부,세미나실 여부,좌석수,사우나실 여부,캠프파이어 여부,스포츠 시설 여부,자전거 대여 여부,공용 PC실 여부,휘트니스 센터 여부,노래방 여부,청각장애용 객실,뷰티시설여부,공용 샤워실 여부,청각장애 기타상세,보조견동반
5712,경해루,"해산물이 듬뿍 들어간 황제 쟁반짜장, 황제 해물짬뽕 맛집인 경해루는 지역에서도 손꼽히는 맛집이다. 입구에 빠른 메뉴 제공을 위해 탕수육, 짜장을 제외한 메뉴는 2가지만 받는다는 안내문이 공지되어 있고, 저녁 식사는 오후 6시부터 7시 30분까지만 판매한다. 신선한 재료를 사용해 깊은 맛이 나는 짬뽕은 칼칼하고 매콤한 풍미가 느껴지고, 황제 쟁반짜장은 해산물 풍부하게 들어있고, 약간의 매콤함이 깔끔한 뒷맛을 선사한다. 바삭한 튀김옷을 입혀 고소하게 튀겨 나온 탕수육도 채소를 듬뿍 넣은 소스에 찍어 먹으면 그 맛을 잊을 수가 없다. 완도항, 완도공용버스터미널이 근처에 있어 교통이 편리하다.
※ 반려동물 동반 불가",,,전라남도 완도군 개포로 12-1,,"첫째, 넷째 일요일
※ 자세한 휴무일은 전화 문의 요망",있음 / 주차요금 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30~19:30 (브레이크타임 15:30~18:00),"황제쟁반짜장, 황제해물짬뽕","황제쟁반짜장, 황제해물짬뽕, 탕수육",,,,,,,,,,,,,,,,,,,
5713,선미식당,"한식을 겸하는 중식당 선미식당은 짬뽕, 짜장면, 볶음밥 중국요리가 맛있기로 유명하다. 야채로 오랜 시간 우려낸 육수를 사용하는 짬뽕에 해산물뿐만 아니라 돼지고기, 어묵이 들어가 매우 독특하고 매력적인 맛을 자랑한다. 볶음밥에는 미역국이 나와서 속이 더욱 편안해진다. 단, 탕수육은 예약해야 먹을 수 있다. 겨울 제철 메뉴인 굴짬뽕도 줄을 서서 기다릴 정도로 인기 메뉴다. 한산한 시골 마을이지만 선미식당 앞에는 늘 차들이 즐비하고 발 디딜 틈 없이 인기 있는 맛집이다. 간짜장, 우동, 짬뽕밥, 오므라이스, 팔보채, 양장피 등 다양한 종류가 있어 따뜻하고 정겨운 맛을 푸짐하게 즐길 수 있다.",,,전라남도 함평군 엄다길 62,,매주 일요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~15:00 (라스트 오더 14:30),짜장면,짬뽕 / 볶음밥 / 탕수육 등,,,,,,,,,,,,,,,,,,,
5714,포베오커피,"바다, 커피, 디저트라는 단어만으로도 꼭 찾아보고 싶은 곳인 포베오커피는 함평 바다를 한눈에 담을 수 있는 곳이다.
천연 벌꿀집을 이용한 벌꿀라테, 수제 청귤청과 꽃잎차로 만든 오로라 색감의 포베오에이드, 세 가지 종류의 홍차를 직접 섞어 26시간 이상 우려낸 밀크티 등이 대표 메뉴다. 카페 안과 밖 모두 포토존이라 사진기는 필수이다. 오션뷰 카페이기 때문에 아무 생각 하지 않고 아무것도 하지 않으면서 오로지 커피 마시면서 창밖만 봐도 힐링을 제대로 할 수 있다.",,https://www.instagram.com/foveo_coffee,전라남도 함평군 주포로 395,,인스타그램 공지 참고,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~20:50,벌꿀라테,수제 밀크티 / 포베오 에이드 / 아메리카노 / 청귤차 / 디저트 외,,,,,,,,,,,,,,,,,,,
5715,수만리커피,"무등산을 한눈에 담을 수 있는 숲속의 루프탑 카페인 수만리 커피는 가는 길부터 산과 시골길 굽이굽이 따라가며 드라이브하기에도 좋고, 도착하자마자 보이는 전망은 온갖 근심을 싹 다 잊게 한다. 정원과 연못, 나무 하나하나 주인장의 손길이 느껴지며 파란 하늘로 뻗는 듯한 인테리어부터 눈길을 사로잡는다. 산기슭에 위치해 공기가 좋고 풍경은 더 좋은 수만리커피는 여기저기 포토존이 많아서 친구, 연인, 가족들과 추억 남기기도 정말 좋은 힐링 공간이다. 1층 좌석은 통창이라 여름엔 시원한 바람을 느끼며 커피를 즐길 수 있고 2층은 빈티지 소품들이 있어 하나하나 이야기를 담고 있는 것 같아서 정성과 감성이 느껴진다.
※반려동물 동반 가능(목줄, 배변봉투 지참)",,,전라남도 화순군 안양산로 616-2,,연중무휴,가능,,,,무등산을 바라보면서 커피를 마실수 있는 곳. 카페에 산책로가 이어져있어서 차마시고 한바퀴 돌면 독특한 바위도 볼수있고 다른 세상에 온 느낌이 듭니다. 단풍들때 특히 너무 추천합니다. 산책로 손잡이에 철로 만든 오브제가 군데군데 있는데 진짜 아기자기 예뻐요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~20:00 (라스트오더 19:30),아메리카노,미숫가루 / 카페라떼 / 자몽에이드 등,,,,,,,,,,,,,,,,,,,
5717,OCEAN VIEW 꿈의세계카페,"OCEAN VIEW 꿈의세계카페는 진도대교와 울돌목 전망이 아름다운 카페다. 바다가 보이는 야외 테라스, 벤치 하우스가 있다. 1층 민속공예품 수석 생활 자기 판매점, 2층 카페, 3층 펜션으로 이루어진 건물은 보기에도 멋스럽다. 1층에 있는 정원에 초승달과 보름달 포토존, 각양각색의 조형물들이 사진 찍기에 좋다. 카페 내부에 들어서면 장식장에 보이는 다양한 자기들과 수석들이 눈길을 사로잡고, 석양이 멋진 넓은 통 창은 푸른 바다를 가까이서 느끼게 해준다. 향긋한 커피와 직접 담근 과일청으로 만든 음료, 커피콩 빵 등 디저트들이 다양하게 준비되어 있다. 진도대교와 명량 해상 케이블카의 야경도 감상하고, 우수영 국민관광지도 가까워 진도 여행을 즐기면서 편히 쉬어갈 수 있는 곳이다.
※ 반려동물 동반 불가",,,전라남도 진도군 명량대첩로 37,,연중무휴,가능(무료),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30~21:00,아포카토 / 카페라떼 / 바닐라라떼 / 헤즐넛라떼,카라멜 마끼아또 / 까페모카 / 초코라떼 / 녹차라떼 / 고구마라떼 / 와플 / 커피콩빵 등,,,,,,,,,,,,,,,,,,,
5718,순천양조장,"순천맥주는 2015년 순천대학교 창업동아리로 시작해 지역 농산물과 관광자원을 활용해 수제 맥주와 수제버거를 만드는 관광두레 주민사업체이다. 순천역 근처 도보 5분 거리로 뚜벅이 여행객도 방문하기 좋다. 버려진 옛 건물과 곡물 저장 창고를 리모델링해 재탄생시켰다. 옆에 카페 브루웍스와 함께 운영되며, 레트로 감성 가득한 1층과 2층, 야외 테라스가 마련되어 있다. 순천양조장 대표 맥주인 ‘순천특별시’, 와온해변의 붉은 석양을 표현한 ‘와온, 전통과 역사를 담은 ’낙안읍성‘, 순천시를 상징하는 시조 ’흑두루미‘ 등 순천의 유명 관광명소를 담은 다양한 수제 맥주를 만나볼 수 있다.",,,전라남도 순천시 역전길 57 (조곡동),,매주 월요일,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"화~금 16:00~22:00 (라스트 오더 21:00)
토~일 11:00~22:00 (라스트 오더 21:00)",크레인버거,"쉬림프버거, 어니언버거, 수제 맥주 (순천특별시, 낙안읍성, 와온, 흑두루미, 유네스코 등 / 4종 샘플러)",,,,,,,,,,,,,,,,,,,
5719,도캐,"진도를 상징하는 진돗개 모양으로 빚은 도캐 만주를 판매하는 도캐는 진돗개의 돗개를 도캐로 발음한 것으로, 진도 읍내에 있는 작은 카페이다. 진도를 대표하는 진돗개 모양의 도캐빵은 진도 여행 기념품으로 사랑받고 있다. 조금 협소하지만, 진돗개 사진, 도캐 엽서, 홀더 등 도캐 캐릭터와 아기자기 귀여운 소품을 이용해 장식한 실내는 볼거리가 많다. 도캐빵 외에도 다양한 베이커리류와 디저트, 스페셜티 커피, 쑥 밀크티, 도캐 밀크티 등의 음료도 맛볼 수 있다.",,https://www.instagram.com/cafedoke/,전라남도 진도군 서문길 1,,매주 토요일,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~16:30 (라스트오더 16:20),도캐빵,크림치즈바게트 / 진돗개식빵 / 진도대파크림치즈바게트 등,,,,,,,,,,,,,,,,,,,
5720,모도상회,"진도 초평항의 해안도로 옆에 있어 오션뷰가 인상적인 모도상회는 작지만 편안하고 아늑한 느낌을 주는 감성 카페이다. 커피 본연의 맛과 향을 추구하는 스페셜티 커피와 유기농 상하 목장 아이스크림을 사용한 라테, 아포가토, 히비스커스 트로피칼티 등이 시그니처 메뉴이다. 모도상회의 실내는 자개장을 이용해 제작한 카운터와 옛날 타자기 등 아기자기한 레트로 감성 소품과 가구들로 이루어져 있고, 실외는 야외 평상과 바다를 바라보는 빈백 소파 등으로 꾸며져 있어 곳곳이 포토존이다. 진도를 여행하는 중에 쉬어갈 만한 편안한 휴식의 공간을 제공하는 카페이다.",,,전라남도 진도군 초평길 54,,연중무휴,있음 / 주차요금 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10:00~17:00
※ 금요일 10:30 오픈",아메리카노,"아포가토, 라테, 에이드, 디저트 등",,,,,,,,,,,,,,,,,,,
5721,용문가든,"용문가든은 전라남도 진도군에 위치한 한식 전문점이다. 큼직한 고등어구이와 매콤한 양념의 제육볶음을 포함한 10여 가지 반찬이 푸짐하게 나오는 백반정식은 대표메뉴이자 인기메뉴이다. 낙지볶음, 전복 콩나물찜, 왕갈비탕, 삼겹살 등 다양한 종류의 한식 메뉴를 맛볼 수 있으며, 토종닭으로 요리하는 닭 요리는 1시간 전에 미리 주문해야 오래 기다리지 않는다. 가계해수욕장 앞에 위치해 바로 앞에 바다가 보이고, 내부에는 넓은 룸과 홀이 있어 단체 이용을 하기에도 편리하다. 신선한 재료로 다양한 메뉴를 맛있게 만드는 로컬 맛집으로 입소문 난 곳이다.",,,전라남도 진도군 회동길 14-16,,매주 일요일,"가능
요금 (무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00~20:00 (브레이크타임 15:00~16:30),백반정식,전복 콩나물찜 / 닭백숙 / 낙지 탕탕이 / 동태탕 / 아귀찜 등,,,,,,,,,,,,,,,,,,,
5722,이화식당,"진도 읍내에 있는 진도밥상 전문점 이화식당은 꽃게부터 장어탕까지 다양하고 맛있는 요리로 사랑받는 로컬 맛집이다. 양념장에 탱글탱글한 속살을 자랑하는 싱싱한 꽃게를 무쳐 보기에도 먹음직스러운 꽃게무침으로 유명하며, 꽃게무침의 살과 양념으로 밥을 비벼 김에 싸 먹는 맛이 별미다. 채소와 큼직한 꽃게, 미나리를 넣어 끓인 진한 국물 맛이 일품인 꽃게탕, 적당한 매운맛과 개운한 감칠맛이 느껴지는 갈치 조림, 병어 조림도 이화식당만의 자랑이다. 어느 것 하나 빼놓을 수 없을 만큼 다양하고 맛있는 반찬들도 맛있는 이화식당은 TV조선 식객 허영만의 백반기행 등 여러 방송에 소개됐다.",,,전라남도 진도군 남동1길 55,,매주 수요일,"주차 불가
※ 건물 주차장이 협소하므로 우체국 또는 전통시장 주차장, 건물 옆 빈공간 주차 바람",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11:00~20:00
브레이크타임 15:00~17:00
라스트오더 14:30/19:30",꽃게무침,"꽃게탕, 갈치조림, 전어구이, 장어탕 등",,,,,,,,,,,,,,,,,,,
