,place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,입장료,접근로,review,주차 요금,이용요금,체험,출입통로,장애인 주차 안내,엘리베이터,수유실,판매 품목,이용가능시설,주차요금,지정현황,체험가능 연령,유모차,휠체어,지체장애 기타 상세,입점브랜드,규모,대중 교통,주요시설,할인 정보,수용인원,오디오 가이드,시각장애 기타상세,관람석,점자 홍보물,보조견 동반,보유장비,안내 요원,시설이용료,부대시설,점자 블록,이용 시기,강습안내,청각 장애 기타상세,코스안내,영유아가족 기타상세,유아용보조의자,개장기간,대여안내,유도안내 설비,예약안내 홈페이지,객실,자막 비디오 가이드,수화 안내,매표소,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,홍보물,예약안내,객실유형,바비큐장여부,세미나실 여부,좌석수,사우나실 여부,캠프파이어 여부,스포츠 시설 여부,자전거 대여 여부,공용 PC실 여부,휘트니스 센터 여부,노래방 여부,청각장애용 객실,뷰티시설여부,공용 샤워실 여부,청각장애 기타상세,보조견동반
824,국립대전숲체원,"중부권 대표 산림복지시설 국립대전숲체원은 생태 1 급지 빈계산 자락에 위치해 있다. 국민 누구나 자유롭게 숲을 통해 몸과 마음의 건강을 증진할 수 있도록 다양한 숲체험 및 산림교육 프로그램을 제공하고 있다. 전국에서 유일하게 엘리베이터로 숲을 진입하는 데크로드가 있으며, 생애 주기별 산림교육을 통해 남녀노소 누구나 숲을 체험할 수 있도록 다양한 코스의 숲길과 세미나실, 숙박 및 식사를 함께 즐길 수 있는 공간이 마련되어 있다.",,https://sooperang.or.kr,대전광역시 유성구 숲체원로 124 (성북동),숙박 15:00~익일 11:00  자세한 사항은 홈페이지 참고,연중무휴,가능 요금 (무료),"장애인 화장실 있음(행정동, 강당, 채움관, 야외 화장실)",,출입구까지 턱이 없어 휠체어 접근 가능함,"날씨가 너무 덥지도 않았고 국립대전숲체원의 자연 속에서 힐링하기 좋았습니다. 숲체원 매력에 빠졌어요 대전 도심에서 30분가량 떨어진 숲속 딱 숙박으로 좋은 가성비숙소랍니다 취사불가에 TV 인터넷 없지만 그래서 더 온전히 숲길을 걷게 되는 것 같아요 다른 숲체원에 비해 작다고 느껴졌는데 주변 공사를 통해 확장하고 있는 것 같아요 국립대전숲체원은 자연 속에서 힐링할 수 있는 최고의 장소였습니다. 울창한 숲길을 따라 걷다 보면 맑은 공기와 새소리가 마음을 편안하게 해줍니다. 가족과 함께한 숲 체험 프로그램은 아이들에게 자연의 소중함을 느끼게 해주었고, 다양한 체험 활동도 흥미로웠습니다. 숙소도 깨끗하고 쾌적해서 편안하게 머물 수 있었습니다. 도심에서 벗어나 자연과 함께하는 시간이 정말 소중하게 느껴졌습니다. 숙소 관리도 잘되고 있는데다가 숙박비도 저렴해 가족단위 여행 가성비 갑이예요♡ 무장애데크로드도 멋지지만 숲해설가 선생님들이들려주는 숲이야기 정말 유용하고 재밌어요. 겨울이라 체험은 다양하게 못 했는데 봄 여름 가을에 오면 정말 최고일 것 같아요. 제철 열매도 따 먹고 곤충이나 동물들 관찰도 수월하구요. 숙소도 나무로 만들어서 친환경이고 밤되니 불빛이 하나 없어 깜깜한 하늘과 달빛 별빛 보니 이곳이 무릉도원이네요. 저렴하니 대전 숲체원 꼭 오세요!!!!",,,통나무 명상 / 소도구운동 / 숲길라잡이 등,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),장애인 주차장 있음,"엘리베이터 있음(행정동, 채움관, 새솔관, 데크로드)",행정동 지하1층,,,,,,,안내센터에서 대여 가능,무장애 데크로드 있음,,,,,,,,,,,,,,"[숙박]  개별동 75,000원~240,000원  단체동 44,000원~338,000원 [프로그램]  일반 4,000원  단체 3,5000원  할인 및 기타 요금은 홈페이지 참고",,,,,,,,,,,,,대여용 휠체어 5대 장애인객실 2실 보유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,한화리조트 해운대,"한화호텔앤드리조트는 1979년 콘도미니엄 건설을 통하여 레저산업에 첫발을 디딘 이후 현재 전국에서 가장 많은 직영 콘도 체인 및 골프장을 운영하고 있으며, 다양한 범주의 푸드 서비스를 고객에게 제공하고 있다. 2009년 프라자호텔과 63시티 식음·문화부문을 한 가족으로 맞이한 한화호텔앤드리조트는 국내 최고 프리니엄 종합 레저·서비스 기업으로의 도약을 꿈꾸고 있다. 한화호텔앤드리조트는 현재의 상황에 만족하지 않고 급속한 레저환경 변화에 대응하며, 21세기 건전한 여가 생활문화 창조를 위하여 미래지향적 가치관, 다양한 레저시설 및 풍부한 운영 노하우를 기반으로 기존 사업영역의 확대 및 신규 사업을 추진하여 질적·양적 측면에서 명실상부한 국내 최고·최대의 국민레저기업으로서의 입지를 확고히 하고 있다.  전 객실에서 푸른 바다를 볼 수 있는 한화리조트 해운대는 32층의 초고층 호텔식리조트로 서 416실의 객실과 연회장, 세미나실, 사우나 등 각종 부대시설을 갖추고 있다. 국내 최고의 전망과 젠 스타일의 인테리어, 그리고 라이브 클래식 음악이 있는 32층 스카이라운지는 부산의 명소로서 많은 고객들의 사랑을 받고 있다. 또한 최근에 완공된 아름다운 광안대교를 가장 근거리에서 감상할 수 있는 곳이기도 하다. 현대적인 감각의 인테리어와 편의성을 갖춘 객실은 고객의 취향에 따라 이용할 수 있도록 더블 베드룸, 트윈베드룸, 온돌형 한실 등 다양한 형태로 구성되어 있다. 특히 한화리조트 해운대는 객실 내에서 인터넷 이용이 가능하고, 업무용 테이블이 비치된 비즈니스룸과 PC 등의 사무기기와 상담시설이 완비된 비즈니스센터를 운영하고 있다.",,http://www.hanwharesort.co.kr,부산광역시 해운대구 마린시티3로 52 (우동),,,가능,장애인 화장실 있음(1층),,주차장에서 출입구까지 턱이 없어 휠체어 접근 가능함(수동문),날씨 좋은날 뻥 뚫린 바다뷰 보기 좋은 리조트입니다 갈 때 마다 깨끗하고 좋아서 부산갈때 늘 들리는 곳입니다 넓은 창의 뷰가 좋고 리조트보단 레지던스 느낌! 밤에는 광안대교 야경에~낮에는 바다가 넓게 펼쳐져 정말 멋있어요! 객실에 따라 옆건물의 사생활이 보일수도 있어 이건 아쉬웠어요 쾌적하고 깨끗해서 잘 쉬었다가요! 호텔뺨치는 한화리조트 추천해요 끝내주는 바다뷰 🌊 객실에서 바다멍이 가능한 숙소 🥰 부산 방문뿐만 아니라 부산 호캉스에도 딱이에요 :),,,,주차장에서 출입구까지 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(지하 주차장)_무장애 편의시설,장애인 엘리베이터 있음,,,,,,,대여가능(유료),대여가능(1층 안내데스크),,,지하 6층 ~ 지상 32층,,,,,,,,,,,,,"웨딩홀, 연회장, 노래방, 스크린골프, 휘트니스센터, 사우나실, 공용PC실, 세탁실, 편의점","점자블록 있음(주 출입구 앞, 엘리베이터 앞)_시각장애인 편의시설",,,,,,,,,,,장애인 객실 있음(패밀리 룸),,,,12:00 주중/비수기 15:00 주말/성수기,12:00 주중/비수기 11:00 주말/성수기,가능,"스카이라운지, 뷔페, 가요주점",416실,,,,,,,,,,,,,,,,,,,,,,
3534,강동오토캠핑장,"울산 강동 오토캠핑장은 일반 데크 13면, 필로티 데크 6면으로 구성되어 있으며, 바다 조망이 가능한 캠핑장이다. 카라반은 아이들을 위해 거북이, 게, 문어 등으로 꾸며져 있으며, 내부는 펜션과 비교해도 손색이 없을 만큼 넓고 쾌적하다. 침실, 주방, 거실, 욕실, 테이블, 그늘막, 주차장이 각각 마련되어 있어 프라이빗 한 공간에서 캠핑을 즐길 수 있다. 단, 카라반 일반데크는 등록 차량 1대만 주차할 수 있으며, 2대부터는 추가 요금을 내고 주차할 수 있다. 관리동에는 관리사무실, 식기세척실, 샤워장, 화장실 등이 마련되어 있다. 가까이에 편의점이나 마트도 있어 장보는 일도 수월하다. 그 외에도 잔디광장, 흔들 그네 등이 마련되어 있어 아이들이 뛰어놀기 좋으며, 산책로도 잘 가꿔 놓았다, 주변에 강동 사랑길과 누리길이 있고 편백 산림욕장, 화동 못 수변공원, 당사 해양낚시공원, 우가 어촌체험휴양마을, 송정 박상진 호수공원 등 둘러 볼 관광지가 많다.",,https://camping.ubimc.or.kr,울산광역시 북구 당사동 87,14:00~익일 11:00,연중무휴,,있음,,휠체어 접근이 가능함,시설도깨끗하고 사이트도 넓고 산책할수있는 바다아래 데크도 있어서..굿 파도소리 너무좋아요 바다뷰 일출뷰가있는 동해바다를 느낄수있는 조용한캠핑장 사랑하는연인이랑 힐링 바다뷰 캠핑 다녀옴 🏕 ⛺️ 은 힐링 기쁨 그것도좋은사람과,,"30,000원~160,000원  이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,관리사무실 옆에 장애인 주차구역 1면 보유,,,,,,,,,,,,,,소화기 구비,,,,,,,,,,,"전기,온수,산책로",,,,,,,,"봄,여름,가을,겨울",,,,무장애 카라반 2대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,국립 신불산폭포자연휴양림,"신불산폭포자연휴양림은 해발 1천 미터 이상의 수려한 산세와 풍광을 자랑하는 영남알프스의 두 번째 고봉인 신불산(1,159m) 자락에 위치해 있다. 주변 계곡은 기암괴석과 다양한 수종이 어우러져 태고의 신비함을 간직하고 있으며, 맑고 깨끗한 계곡은 수량이 풍부하여 찾는 이들에게 정신적, 육체적 힐링을 경험하게 한다. 또한 신불산폭포자연휴양림은 전국의 다른 휴양림과는 달리 상단과 하단휴양림으로 나누어져 운영되고 있으며, 하단에서 약 1시간 걸어가면 나오는 상단휴양림은 가장 느리게 가는 휴양림으로 알려져 있다. 상단휴양림 내에는 통나무로 만들어진 숲속의 집 5동과 휴양관 16실의 시설이 있으며 신불산 중턱에 있어 억새군락지로 유명한 간월재와 신불산을 쉽게 탐방할 수 있는 베이스캠프의 역할을 하고 있다. 또, 통행 차량이 없어 더욱 조용하고 편안하다. 하단휴양림은 휴양관 2동 18실과 연립동 2실이 있으며 여름이면 피서지로 선택하는데 아무런 주저함이 없을 정도다. 약 30분 정도를 걸으면 파래소폭포가 나오는데 이곳은 명주실 한 타래를 풀어도 바닥에 닿지 않는다는 전설이 있을 만큼 깊고 맑다.",,https://www.foresttrip.go.kr,울산광역시 울주군 상북면 청수골길 175, 일일개장 09:00~18:00  숙박시설 15:00~익일 11:00,매주 화요일,"가능 요금 (3,000원)",있음,,출입구까지 단차가 없어 휠체어 접근 가능함,"고속도로에서 내려 5분만 가면 깊은 산골의 정취를 만끽할 수 있어 접근성도 좋고 경치도 훌륭합니다. 설연휴 공짜 휴일이 생겨 1박을 했는데 간만에 설경까지 구경하고 갑니다.. 상단휴양림은 가을에, 하단휴양림은 올해 설명절연휴기간에 숙박했어요. 양단휴양림 사이에 있는 파래소폭포가 꽝꽝 얼어있고 상단휴양림은 동절기 동안 폐쇄되어있었어요.본격적인 산행은 아니지만 하단휴양림에서 상단휴양림까지 다녀오니 어느정도 운동이 되더라구요.",,,숲속체험 프로그램 / 목재문화체험교실,주출입구는 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음(2대)_무장애 편의시설,,,,숲속의 집 / 휴양관 / 연립동 / 야영장,,,,,,,,,,,,,,,,,,,,"[개인]  어른 1,000원 / 청소년 600원 / 어린이 300원 [단체] 20인 이상  어른 800원 / 청소년 500원 / 어린이 200원  65세이상 / 6세 이하 무료  숙박시설과 야영장 숙박료 및 자세한 내용은 홈페이지 참조",,,,,,,,,,,,,장애인 객실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733,아젤란 리조트,"아젤란 리조트는 각종 단체의 연수 및 교육을 위해 효과적인 프로그램을 실시할 수 있도록 다양한 시설을 갖추고 있다. 편안한 객실과 정갈한 음식, 100인 이상 수용 가능한 세미나 장비, 등산로, 숲 속 산책로 등 다양한 즐길 거리와 함께 힐링할 수 있다.",,http://azelanresort.co.kr/,울산광역시 울주군 상북면 덕현남천길 7,,,주차 가능,,,출입구까지 단차가 없어 휠체어 접근 가능함,울산에 친척 결혼식이 있었어요. 서울에서 가야해서 미리 갔는데 친척분이 여길 예약해 주셨어요. 아젤란 리조트... 이름 참 이쁘죠? 규모도 엄청 커 보이더니 단체의 연수까지도 가능하다고 하네요. 와우~ 하루 묵었지만 깔끔하면서도 음식도 아주 정갈하고 산책로도 있어 좋았네요.,,,,주출입구는 단차가 없어 휠체어 접근 가능함,,,,,,,,,,,,,"본동(4층), 별장동(2층)",,,,,,,,,,,,,중·대형 강의실,점자블록 있음(주출입구)_시각장애인 편의시설,,,,,,,,,,http://azelanresort.co.kr/,,,,,15:00,11:00,가능,레스토랑,30실,,,,,,050714340098,"리조트본동(18평형, 24평형), 리조트별장동(30평형, 35평형, 54평형)",,,,,,,,,,,,,,,
4284,티라시아리조트,"인천 강화군에 있는 티라시아 리조트는 서해안이 한눈에 펼쳐지는 조망을 갖춘 리조트이다. 하얀색 건물과 파란색 지붕은 그리스의 산토리니를 연상시킨다. 전 객실 복층으로 스파와 바비큐 공간이 독립형 구조로 되어 있으며, 바다가 보이는 야외 수영장과 바비큐장, 히노끼스파 시설도 마련되어 있다. 해안가 바로 앞에 있어 낮에는 서해안의 갯벌 체험과 저녁에는 일몰의 낙조를 감상할 수 있으며 리조트 뒤편에 산으로 연결되는 산책로와 등산로가 있다. 주변 여행지로는 장화리일몰조망지, 옥토끼우주센터, 강화 갯벌센터, 보문사, 고려궁지, 동막해수욕장, 초지진, 마니산, 전등사, 광성보 등이 있다.",,http://www.티라시아리조트.com/,인천광역시 강화군 화도면 해안남로 255325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"바베큐장, 수영장, 카페, 갯벌체험, 산책로/등산로, 어린이놀이터",,,,,,,,,,,http://www.티라시아리조트.com/,,,,,15:00,11:00,가능,,14실,,,,,,01031353597,복층형,,,,,,,,,,,,,,,
4397,더위크앤리조트 (THE WEEK & RESORT),"THE WEEK&은 당신의 시간에 유니크함과 에너지를 더하기 위해 만들어진 공간이다. 주중이든 주말이든 상관없이 THE WEEK& 안에선 특별한 순간을 선물처럼 맞닥뜨릴 수 있다. 리조트를 감싸고 있는 나지막한 산과 아름답게 펼쳐진 서해 바다, 머리칼과 피부에 닿는 해풍, 바다 위에 내려앉은 불같은 낙조까지. 오감으로 느껴지는 자연과, 자연의 4원소를 컬러와 심볼로 자연스럽게 녹여낸 THE WEEK& 안에서 근사한 삶을 만끽해볼 수 있다.  어반 라이프스타일 부띠끄 리조트 '더위크앤리조트'는 지하 2층, 지상 10층 규모에 총 191개의 객실을 보유하고 있다. 올데이 모던 다이닝, 다양한 회의 및 연회 시설, 칵테일바, 카페, 워터파크, 엔터테인먼트존을 오션뷰와 함께 경험할 수 있다. 특별한 여행을 더 특별하게 만드는 맞춤형 룸 타입이 준비되어 있으며, 주말이 가족을 위한 공간이라면, 더위크앤의 주중은 비즈니스와 업무를 위해 최적화된 장소를 제공한다. 편안하고 쾌적한 장소에서 능률을 최대화 하기 위해 만들어진 효율적인 서비스가 좋은 결과를 이끌어 낼 것이다. 다양한 규모의 연회장을 보유하고 있으며, 오션뷰와 함께하는 THE BOARD ROOM까지 있다. 원스탑 비즈니스 공간으로 장시간 업무에 집중할 수 있는 공간도 제공한다.  엔터테인먼트 시설로는 워터 슬라이드와 유수풀, 야외 수영장이 포함된 워터파크, 국내 최초로 도입된 블랙라이트 미니골프, 키즈 플레이룸, 루프탑 바다 전망대 등이 있으며, 바다를 보며 즐길 수 있는 모던다이닝 퓨전 레스토랑 'WE CAN DINE', 조식 및 연회 뷔페 레스토랑 'THE FIVE', 로비 카페&바 'WE CAN BAR'로 구성된 식음시설은 유명 5성 호텔 총괄 출신의 쉐프가 함께 하고 있다.",,https://www.theweekandresort.com/index.html,인천광역시 중구 용유서로 379,,,주차가능 (194대),,,출입구까지 턱이 없어 휠체어 접근 가능함,리조트라 대가족 투숙도 가능하고 을왕리 바다 바로 앞에 있어서 너무 좋아요!! 리조트는 호털처럼 깔끔하고 아이들 놀거리가 많아서 작년에 처음 가보고 다음 주 또 방문 예정이에요! 워터파크도 있어서 물놀이도 가능하고 갯벌체험도 가능하니 서울근교 바닷가에서 제일 괜찮은 리조트 인듯 해요!!,,,,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),장애인 주차장 있음_무장애 편의시설,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,안내요원 있음,,"세미나실, 스포츠시설, 사우나실, 식음료장, 바비큐, 휘트니스센터, 공동샤워실, 워터파크 '아쿠아벤처', 펫파크, 루프탑, 국내 최초 블랙 라이트 미니 골프 '글로우펏', 게임&아케이드장 'WE CAN PLAY', 실내 클라이밍 'Climbing zone', 키즈플레이룸, 코인세탁실, 편의점, 족구장, 탁구대",점자유도로 있음_시각장애인 편의시설,,,,,,,,,,https://www.theweekandresort.com/index.html,장애인 객실 있음(3실/2인기준),,,,15:00,11:00,"가능 (단, 어반타입객실 및 VIP스위트룸 불가)","모던다이닝 퓨전 레스토랑 'WE CAN DINE', 조식 및 연회 뷔페 레스토랑 'THE FIVE', 로비 카페&바 'WE CAN BAR'",191실,,,,,,0327450000,,,,,,,,,,,,,,,,
5000,전남권 환경성질환 예방관리센터,"전남권 환경성질환 예방관리센터는 지구 온난화, 산업화, 서구화된 식생활 등 다양한 환경적 요인으로 발생 빈도가 꾸준히 증가하고 있는 환경성질환의 예방 및 관리를 위해 건립된 전남권역의 친환경 힐링센터다. 아토피 피부염 등 환경성질환에 대한 올바른 이해와 정보제공을 위한 교육프로그램, 어린이가 즐기면서 배울 수 있는 체험프로그램, 환경성질환예방 및 건강증진을 위한 맞춤형 프로그램을 운영하고 있다. 또한,환경 자재를 사용한 명상실, 녹차탕, 황토·맥반석찜질방, 산소방 및 숙박시설도 운영하고 있다.",,http://www.boseongatopycenter.kr,전라남도 보성군 웅치면 대산길 329126,시설별로 이용시간이 상이하므로 홈페이지 참조,"매주 월요일(단, 월요일이 공휴일인 경우 그 다음날) / 1월 1일 / 설·추석 당일",가능,,,출입구까지 경사로가 설치되어 있음,좋아보이네요 ,,,상담 및 교육프로그램 / 신체활동 / 심리치유 / 가족형 프로그램 / 기관·연계 프로그램,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,"[교육체험관] 60,000원~150,000원 [숙박동] 80,000원~225,000원  자세한 사항은 홈페이지 참조",,,,,,,,,,,,,장애인 객실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5089,정남진 편백숲 우드랜드,"정남진 장흥은 산과 바다와 강이 있는 아름다운 생태고을이다. 그중에서도 초록의 상쾌한 바람과 아름드리 40년생 편백나무가 빼곡히 들어선 정남진 편백숲 우드랜드는 으뜸이라고 할 수 있다. 장흥읍 시내를 한눈에 바라볼 수 있는 억불산 자락에 자리 잡은 우드랜드는 목재문화체험관, 전통한옥 등 아름다운 펜션 단지 생태건축체험장과 전남목공예센터 그리고 치유의 숲과 편백소금집(찜질방) 등을 갖추고 있다.",,http://www.jhwoodland.co.kr,전라남도 장흥군 장흥읍 우드랜드길 180 (장흥읍),[우드랜드] 09:00~18:00 [숙박] 15:00~익일11:00,연중무휴,가능,장애인 화장실 있음,"[우드랜드]  어른 개인(만 19~64세 이하) : 3,000원  청소년 개인(만 13~18세) : 2,000원  어린이 개인(만 12세) : 1,000원  어른 단체(20인 이상) : 2,000원  청소년 단체(20인 이상) : 1,500원  어린이 단체(20인 이상) : 500원  유아(만 6세 이하), 경로(만65세 이상), 군민 : 면제  자세한 사항은 홈페이지 참조 요망  [숙박] 이용시설 및 요일에 따라 상이하므로 홈페이지 참조 요망",출입구까지 턱이 없어 휠체어 접근 가능함,부모님 모시고 한국관광 100선으로 뽑힌 장흥편백숲우드랜드에 왔습니다. 편백나무에서 나오는 피톤치드가 굉장히 힐링되는 느낌을 줍니다. 무장애여행지라서 노령의 어르신들도 천천히 다니실 수 있어 더 좋았습니다. 100선 스탬프투어도 이곳부터 시작해서 계속 다녀볼 예정입니다. 4.24 아내와 방문하였습니다. 원래 여기서 자고 싶어서 예약 하려는데 1박만 된다고 하여 다른곳에서 숙박하였습니다. 무릎이 좋지 않은 우리 둘이지만 모두 둘러보고자 하여 매표소에서 출발하여 산림치유센터 목재문화체험관 한옥촌을 거쳐 치유의숲까지만 가고 음이온 폭포 편백소금집 사랑의 오솔길 통나무집촌 유아숲체험관을 거쳐 하산하였는데 이런 코스가 무릎 아픈줄 모르고 걷게하는 마력을 가진 길이었어요. 천천히 걸어서인지 약 4시간이 걸렸지만 떠나기 아쉬운 곳이었으며 다음에는 이 숲에서 꼭 1박 하자고 하였습니다.  25.4. 6 정남진 편백숲 우드랜드를 방문했고 울창하고 쾌적한 산림숲으로 올라가는 초입부분에 편백나무를 짤게잘라 깔아놔서 신발에 닿는 푹신한 촉감이 좋았으며 건강해지는 느낌이었습니다 시원하게 떨어지는 폭포수는 시각도 청각도 즐거움을 더해주었고 데크길도 잘 조성되어 걷기에 무리없는 가벼운 산책길이었고 인위적인 조경이아닌 자연스러운 숲속길로 조성되어 참 잘 기획 되어진 관광지로 다음에도 또 찾고싶은곳으로 기억될듯합니다  개인이 가꾸던 편백숲을 장흥군이 사들여 관리중입니다. 편백향이 풍부하고 공기 질도 좋아요. 저는 편백숲 내부의 소금찜질방에도 다녀왔습니다. 톱밥효소찜질 강추하고요 내부에 카페도 있는데 청태전을 전문으로 다루는 찻집입니다. 사장님 친절하시고 청태전이라는 장흥 고유 차도 맛보면 좋습니다. 2024.11.16 처가집 식구 10명이 장흥 정남진 편백숲 우드랜드 에서 뜻 깊은 하루를 보냈어요. 편백숲길 산책하며 우의 를다지며 다음에도 또 오자고 다짐했어요. 장흥 물축제기간 정남진 편백숲우드랜드로 숙소를잡으니 축제장과 거리가 가까워서 축제잘즐기고 우드랜드로가서 편안한 휴식을 즐겼어요 향그러운 나무향과 그 조용함이 힐링되는 순간이였어요 가족단위로 와도 볼거리즐길거리가 많아서 매우만족했습니다 가족과 함께 편백나무 숲을 걸었어요 바람도 시원하고 한참을 무더위를 잊고 가족들과 대화하며 제대로 힐링된 시간을 가졌네요..또 한번 와야겠어요,,,산림치유프로그램 / 유아숲체험 프로그램 / 숲해설프로그램,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,엘리베이터 있음(목재문화체험관),수유실 있음,,"숙박, 강의실, 난대자생식물원, 전시관 등",,,프로그램별 상이,대여가능(매표소),대여가능(매표소),무장애 데크길(산책로) 있음,,,,,,,,,,점자안내판 있음,,,,,,,,,,,,,,,,,장애인 객실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5095,순천 드라마촬영장,"순천 드라마촬영장은 특히 관광지가 많은 전라남도 순천시에 위치한 곳이다. 2006년에 방영된 드라마, ‘사랑과 야망’의 야외 세트장으로 60~80년대 집들이 재현되어 있으며 드라마 ‘자이언트’, ‘에덴의 동쪽’,‘제빵왕 김탁구’, ‘허삼관매혈기’등 유명한 작품들을 촬영한 장소이다. 골목 골목 다니며 촬영장을 관람하고 교복 대여를 체험할 수 있다.  ◎ 한류의 매력을 만나는 여행 정보 1960년대부터 1980년대까지 한국 근대 모습을 생생하게 재현한 한국 최대 규모의 영화, 드라마 촬영장으로 60년대 순천 읍내 거리, 70년대 서울 봉천동 달동네, 80년대 서울 변두리 거리로 구성된 거리를 돌아다니다 보면 영화 속 등장인물이 된 듯한 기분에 사로잡힌다. 드라마 <구미호뎐 1938>, <파친코> 등 현재까지 80여 편이 촬영됐다.",,http://main.suncheon.go.kr/tour,전라남도 순천시 비례골길 24,09:00~18:00 (입장 마감 17:00),연중무휴,가능,"장애인 화장실 있음(주차장, 세트장)"," 성인 3,000원  청소년(군인) 2,000원  어린이 1,000원  20인 이상 단체 할인 별도",출입구까지 턱이 없어 휠체어 접근 가능함,"옛날 교복도 대여할 수 있고 그시대 속으로 들어간것 마냥 구현이 잘되어 있어 신기했습니다^^ 달동네처럼 구성된 거리는 조금 오르막이라 더운여름은 피해서 방문 하시면 더 좋지 싶어요~ 세트장 사진 찍을 곳 많아요. 옷도 빌릴 수 있고 이것 저것 체험 할 것도 많아요. 드라마에서 나왔던 곳들을 실제로 볼수있어 재밌었어요 사진찍고 구경하다보면 시간이 후딱이네요! 추억 돋아요! 제법 넓은 공간에 6070년대의 동네 모습이 잘 꾸며져 있어서 구경할 것도 많고 재미있었어요. 여기서 촬영한 드라마나 영화가 많아서 그런지 어딘가 익숙한 풍경들이라 더욱 재미있습니다 대중교통으로 접근성도 편하고 현장에는 주차장도 넓고 쾌적해서 주차걱정도 없을듯합니다. 개인용품을 보관할수 있도록 사물함도 잘 구비되어 있어서 사진찍기에도 정말 편할거 같아요! 추억의 시대 복장으로 대여해서 드라마 촬영장을 즐긴다면 더 즐거울것 같습니다^^ 순천 여행길에 다녀온 드라마 촬영지. 옛날 감성에 소원도 적고 고고장에서 춤도 추고 잼나게 보내가 왔어요. 놀거리, 볼거리 풍성했어요. 요즘 드라마의 한 장면에서 많이 본 배경이다~ 생각해보니 달동네 앞 우물배경으로 촬영했더군요. 실제 드라마에서 확인하니 반가웠어요^^ 세트장이 주막부터 여러 가게들, 영화관 등등 다양하고 추억의 달동네까지 재밌게 둘러볼 수 있어서 좋았어요. 내부가 많이 넓진 않지만 구석구석 둘러볼 거리가 많아요. 다양한 연령층이 모두 즐길 수 있는 곳입니다.",,,추억의 음악 감상 / 영화촬영 작품 전시 / 옛날 교실과 교복체험 등,주 출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음(3대)_무장애 편의시설,,교복 대여점 옆에 위치,,"60년대 순천읍내, 70년대서울봉천동 달동네, 80년대 서울변두리 등의 테마 마을","대형 3,000원 / 승합차 2,000원 / 승용차 1,000원 / 경차 500원",,,"대여 가능(3대,무료 (신분증 필요))",대여 가능(4대),,,,,,,,,,,촉지·음성 안내판 있음,,,,,,,,,,,,,,,,,장애인 객실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
